date_a,ph_a,do_a,nitrite_a,ammonia_a,temperature_a
14092021,8,8,0,0.25,30.5
15092021,8.2,8,0,0.25,30
16092021,8.2,8,0,0.25,29
17092021,8.2,8,0,0.25,29
18092021,8.2,8,0,0.25,29.5
19092021,8.2,8,0,0.25,29.5
20092021,8.2,8,0,0.25,28.5
21092021,8.1,8,0,0.25,28.5
22092021,8.1,8,0,0.25,28.5
23092021,7.9,8,0,0.25,28.5
24092021,7.9,8,0,0.25,28.5
25092021,8,8,0,0.25,28.5
26092021,8,8,0,0.25,28
27092021,8.1,8,0,0.25,30
28092021,8,8,0,0.25,29.5
29092021,7.9,8,0,0.25,29.5
1102021,7.9,8,0,0.25,29.5
2102021,7.9,8,0,0.25,30
5102021,8,8,0,0.25,30
7102021,8,8,0,0.25,29
8102021,7.9,8,0,0.25,29.5
9102021,8.1,8,0,0.25,30
13102021,8.1,8,0,0.25,29
14102021,7.8,8,0,0.25,29
15102021,8,8,0,0.25,29
16102021,7.9,8,0,0.25,29
19102021,7.9,8,0,0.25,29.5
20102021,8,8,0,0.25,28
21102021,7.6,9.25,0,0,29.5
22102021,7.5,7,0.05,0.25,29.5
25102021,7.8,7,0.05,0.125,29.5
26102021,8,7,0,0.25,29.5
27102021,7.9,7,0,0.25,28
28102021,7.7,8,0,0.25,28
29102021,7.9,7,0,0.25,27.5
30102021,7.9,8.75,0,0.25,28
1112021,7.8,7,0,0.25,27.5
2112021,7.8,7,0,0.25,28
3112021,7.8,7.5,0,0.25,27.5
4112021,7.8,7,0,0.25,27.5
5112021,7.8,8,0,0.25,28
6112021,7.8,7,0,0.25,28
8112021,7.5,8,0.05,0.25,28.5
9112021,7.8,8,0,0.25,28.5
10112021,7.8,8,0.05,0.25,28
11112021,7.8,8,0,0.25,28
12112021,7.4,8,0,0.25,25
13112021,7.1,7,0,0.25,26
15112021,7.4,7,0,0.25,27
16112021,7.3,7,0,0.25,28
