ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a,temperature_a
8.00,340.50,136.00,8.00,0.00,0.25,30.50
8.20,353.00,136.00,8.00,0.00,0.25,30.00
8.20,355.00,136.00,8.00,0.00,0.25,29.00
8.20,351.50,136.00,8.00,0.00,0.25,29.00
8.20,350.50,136.00,8.00,0.00,0.25,29.50
8.20,353.50,136.00,8.00,0.00,0.25,29.50
8.20,357.00,136.00,8.00,0.00,0.25,28.50
8.10,361.00,136.00,8.00,0.00,0.25,28.50
8.10,357.50,136.00,8.00,0.00,0.25,28.50
7.90,365.50,136.00,8.00,0.00,0.25,28.50
7.90,385.00,136.00,8.00,0.00,0.25,28.50
8.00,395.00,136.00,8.00,0.00,0.25,28.50
8.00,396.00,136.00,8.00,0.00,0.25,28.00
8.10,388.50,136.00,8.00,0.00,0.25,30.00
8.00,392.50,136.00,8.00,0.00,0.25,29.50
7.90,393.00,136.00,8.00,0.00,0.25,29.50
7.90,395.50,136.00,8.00,0.00,0.25,29.50
7.90,395.00,136.00,8.00,0.00,0.25,30.00
8.00,394.50,136.00,8.00,0.00,0.25,30.00
8.00,401.00,136.00,8.00,0.00,0.25,29.00
7.90,397.00,136.00,8.00,0.00,0.25,29.50
8.10,402.00,136.00,8.00,0.00,0.25,30.00
8.10,414.50,136.00,8.00,0.00,0.25,29.00
7.80,415.50,136.00,8.00,0.00,0.25,29.00
8.00,427.00,136.00,8.00,0.00,0.25,29.00
7.90,423.00,136.00,8.00,0.00,0.25,29.00
7.90,429.00,136.00,8.00,0.00,0.25,29.50
8.00,433.00,136.00,8.00,0.00,0.25,28.00
7.60,323.50,127.50,9.25,0.00,0.00,29.50
7.50,310.00,136.00,7.00,0.05,0.25,29.50
7.80,311.50,136.00,7.00,0.05,0.13,29.50
8.00,310.50,136.00,7.00,0.00,0.25,29.50
7.90,318.00,136.00,7.00,0.00,0.25,28.00
7.70,314.50,136.00,8.00,0.00,0.25,28.00
7.90,316.50,136.00,7.00,0.00,0.25,27.50
7.90,321.50,127.50,8.75,0.00,0.25,28.00
7.80,313.50,127.50,7.00,0.00,0.25,27.50
7.80,308.50,119.00,7.00,0.00,0.25,28.00
7.80,323.00,119.00,7.50,0.00,0.25,27.50
7.80,322.50,119.00,7.00,0.00,0.25,27.50
7.80,322.00,119.00,8.00,0.00,0.25,28.00
7.80,332.50,119.00,7.00,0.00,0.25,28.00
7.50,331.00,119.00,8.00,0.05,0.25,28.50
7.80,326.50,119.00,8.00,0.00,0.25,28.50
7.80,332.50,119.00,8.00,0.05,0.25,28.00
7.80,322.50,119.00,8.00,0.00,0.25,28.00
7.40,322.00,119.00,8.00,0.00,0.25,25.00
7.10,318.50,136.00,7.00,0.00,0.25,26.00
7.40,330.50,136.00,7.00,0.00,0.25,27.00
7.30,323.50,136.00,7.00,0.00,0.25,28.00
