date_a,ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a ,temperature_a
14092021,8.0,340.5,136,8,0,0.25,30.5
15092021,8.2,353,136,8,0,0.25,30
16092021,8.2,355,136,8,0,0.25,29
17092021,8.2,351.5,136,8,0,0.25,29
18092021,8.2,350.5,136,8,0,0.25,29.5
19092021,8.2,353.5,136,8,0,0.25,29.5
20092021,8.2,357,136,8,0,0.25,28.5
21092021,8.1,361,136,8,0,0.25,28.5
22092021,8.1,357.5,136,8,0,0.25,28.5
23092021,7.9,365.5,136,8,0,0.25,28.5
24092021,7.9,385,136,8,0,0.25,28.5
25092021,8.0,395,136,8,0,0.25,28.5
26092021,8.0,396,136,8,0,0.25,28
27092021,8.1,388.5,136,8,0,0.25,30
28092021,8.0,392.5,136,8,0,0.25,29.5
29092021,7.9,393,136,8,0,0.25,29.5
01102021,7.9,395.5,136,8,0,0.25,29.5
02102021,7.9,395,136,8,0,0.25,30
05102021,8.0,394.5,136,8,0,0.25,30
07102021,8.0,401,136,8,0,0.25,29
08102021,7.9,397,136,8,0,0.25,29.5
09102021,8.1,402,136,8,0,0.25,30
13102021,8.1,414.5,136,8,0,0.25,29
14102021,7.8,415.5,136,8,0,0.25,29
15102021,8.0,427,136,8,0,0.25,29
16102021,7.9,423,136,8,0,0.25,29
19102021,7.9,429,136,8,0,0.25,29.5
20102021,8.0,433,136,8,0,0.25,28
21102021,7.6,323.5,127.5,9.25,0,0,29.5
22102021,7.5,310,136,7,0.05,0.25,29.5
25102021,7.8,311.5,136,7,0.05,0.125,29.5
26102021,8.0,310.5,136,7,0,0.25,29.5
27102021,7.9,318,136,7,0,0.25,28
28102021,7.7,314.5,136,8,0,0.25,28
29102021,7.9,316.5,136,7,0,0.25,27.5
30102021,7.9,321.5,127.5,8.75,0,0.25,28
01112021,7.8,313.5,127.5,7,0,0.25,27.5
02112021,7.8,308.5,119,7,0,0.25,28
03112021,7.8,323,119,7.5,0,0.25,27.5
04112021,7.8,322.5,119,7,0,0.25,27.5
05112021,7.8,322,119,8,0,0.25,28
06112021,7.8,332.5,119,7,0,0.25,28
08112021,7.5,331,119,8,0.05,0.25,28.5
09112021,7.8,326.5,119,8,0,0.25,28.5
10112021,7.8,332.5,119,8,0.05,0.25,28
11112021,7.8,322.5,119,8,0,0.25,28
12112021,7.4,322,119,8,0,0.25,25
13112021,7.1,318.5,136,7,0,0.25,26
15112021,7.4,330.5,136,7,0,0.25,27
16112021,7.3,323.5,136,7,0,0.25,28
