date,ph_m,tds_m,alk_m,do_m,nitrite_m,ammonia_m ,temperature_m,ph_e,tds_e,alk_e,do_e,nitrite_e,ammonia_e ,temperature_e
14-09-2021,7.88,342,136,8,0,0.25,30,8.14,339,136,8,0,0.25,31
15-09-2021,8.17,349,136,8,0,0.25,29,8.21,357,136,8,0,0.25,31
16-09-2021,8.22,352,136,8,0,0.25,28,8.25,358,136,8,0,0.25,30
17-09-2021,8.26,356,136,8,0,0.25,28,8.17,347,136,8,0,0.25,30
18-09-2021,8.19,357,136,8,0,0.25,28,8.14,344,136,8,0,0.25,31
19-09-2021,8.2,355,136,8,0,0.25,28,8.24,352,136,8,0,0.25,31
20-09-2021,8.15,357,136,8,0,0.25,28,8.22,357,136,8,0,0.25,29
21-09-2021,8.09,361,136,8,0,0.25,28,8.12,361,136,8,0,0.25,29
22-09-2021,8.11,359,136,8,0,0.25,28,8.06,356,136,8,0,0.25,29
23-09-2021,7.79,364,136,8,0,0.25,28,7.96,367,136,8,0,0.25,29
24-09-2021,7.84,386,136,8,0,0.25,28,7.92,384,136,8,0,0.25,29
25-09-2021,7.99,395,136,8,0,0.25,29,7.97,395,136,8,0,0.25,28
26-09-2021,7.94,397,136,8,0,0.25,27,8.03,395,136,8,0,0.25,29
27-09-2021,8.04,383,136,8,0,0.25,31,8.09,394,136,8,0,0.25,29
28-09-2021,8.05,390,136,8,0,0.25,29,7.95,395,136,8,0,0.25,30
29-09-2021,7.9,390,136,8,0,0.25,29,7.9,396,136,8,0,0.25,30
01-10-2021,7.9,394,136,8,0,0.25,29,7.94,397,136,8,0,0.25,30
02-10-2021,7.96,397,136,8,0,0.25,29,7.9,393,136,8,0,0.25,31
05-10-2021,7.75,387,136,8,0,0.25,29,8.19,402,136,8,0,0.25,31
07-10-2021,7.72,387,136,8,0,0.25,29,8.19,415,136,8,0,0.25,29
08-10-2021,7.78,391,136,8,0,0.25,29,8.02,403,136,8,0,0.25,30
09-10-2021,7.9,395,136,8,0,0.25,30,8.3,409,136,8,0,0.25,30
13-10-2021,8.14,409,136,8,0,0.25,29,8.14,420,136,8,0,0.25,29
14-10-2021,7.71,416,136,8,0,0.25,29,7.98,415,136,8,0,0.25,29
15-10-2021,8.04,408,136,8,0,0.25,29,8.03,446,136,8,0,0.25,29
16-10-2021,7.79,421,136,8,0,0.25,29,8.07,425,136,8,0,0.25,29
19-10-2021,7.85,439,136,8,0,0.25,29,8.02,419,136,8,0,0.25,30
20-10-2021,7.9,453,136,8,0,0.25,29,8.05,413,136,8,0,0.25,27
21-10-2021,7.62,320,119,8,0,0,29,7.63,327,136,10.5,0,0,30
22-10-2021,7.49,308,136,6,0.1,0.25,29,7.58,312,136,8,0,0.25,30
25-10-2021,7.8,312,136,6,0.1,0,29,7.85,311,136,8,0,0.25,30
26-10-2021,7.92,303,136,6,0,0.25,29,7.98,318,136,8,0,0.25,30
27-10-2021,7.87,307,136,6,0,0.25,29,7.84,329,136,8,0,0.25,27
28-10-2021,7.56,302,136,6,0,0.25,29,7.85,327,136,10,0,0.25,27
29-10-2021,7.85,316,136,6,0,0.25,28,7.87,317,136,8,0,0.25,27
30-10-2021,7.84,315,136,9.5,0,0.25,29,7.92,328,119,8,0,0.25,27
01-11-2021,7.79,308,136,6,0,0.25,28,7.79,319,119,8,0,0.25,27
02-11-2021,7.72,302,119,6,0,0.25,29,7.82,315,119,8,0,0.25,27
03-11-2021,7.81,320,119,9,0,0.25,28,7.8,326,119,6,0,0.25,27
04-11-2021,7.79,320,119,8,0,0.25,28,7.87,325,119,6,0,0.25,27
05-11-2021,7.83,322,119,8,0,0.25,28,7.73,322,119,8,0,0.25,28
06-11-2021,7.77,336,119,8,0,0.25,28,7.79,329,119,6,0,0.25,28
08-11-2021,7.25,334,119,8,0.1,0.25,28,7.72,328,119,8,0,0.25,29
09-11-2021,7.64,331,119,8,0,0.25,28,7.87,322,119,8,0,0.25,29
10-11-2021,7.73,337,119,8,0.1,0.25,28,7.82,328,119,8,0,0.25,28
11-11-2021,7.78,326,119,8,0,0.25,28,7.83,319,119,8,0,0.25,28
12-11-2021,7.74,325,119,8,0,0.25,24,7.07,319,119,8,0,0.25,26
13-11-2021,7.12,320,136,6,0,0.25,26,7.07,317,136,8,0,0.25,26
15-11-2021,7.31,327,136,6,0,0.25,27,7.44,334,136,8,0,0.25,27
16-11-2021,7.27,324,136,6,0,0.25,28,7.34,323,136,8,0,0.25,28
