date_a,ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a,temperature_a
1,7.88,342,136,8,0,0.25,30
2,8.17,349,136,8,0,0.25,29
3,8.22,352,136,8,0,0.25,28
17092021,8.26,356,136,8,0,0.25,28
18092021,8.19,357,136,8,0,0.25,28
19092021,8.2,355,136,8,0,0.25,28
20092021,8.15,357,136,8,0,0.25,28
21092021,8.09,361,136,8,0,0.25,28
22092021,8.11,359,136,8,0,0.25,28
23092021,7.79,364,136,8,0,0.25,28
24092021,7.84,386,136,8,0,0.25,28
25092021,7.99,395,136,8,0,0.25,29
26092021,7.94,397,136,8,0,0.25,27
27092021,8.04,383,136,8,0,0.25,31
28092021,8.05,390,136,8,0,0.25,29
29092021,7.9,390,136,8,0,0.25,29
01102021,7.9,394,136,8,0,0.25,29
02102021,7.96,397,136,8,0,0.25,29
05102021,7.75,387,136,8,0,0.25,29
07102021,7.72,387,136,8,0,0.25,29
08102021,7.78,391,136,8,0,0.25,29
09102021,7.9,395,136,8,0,0.25,30
13102021,8.14,409,136,8,0,0.25,29
14102021,7.71,416,136,8,0,0.25,29
15102021,8.04,408,136,8,0,0.25,29
16102021,7.79,421,136,8,0,0.25,29
19102021,7.85,439,136,8,0,0.25,29
20102021,7.9,453,136,8,0,0.25,29
21102021,7.62,320,119,8,0,0,29
22102021,7.49,308,136,6,0.1,0.25,29
25102021,7.8,312,136,6,0.1,0,29
26102021,7.92,303,136,6,0,0.25,29
27102021,7.87,307,136,6,0,0.25,29
28102021,7.56,302,136,6,0,0.25,29
29102021,7.85,316,136,6,0,0.25,28
30102021,7.84,315,136,9.5,0,0.25,29
01112021,7.79,308,136,6,0,0.25,28
02112021,7.72,302,119,6,0,0.25,29
03112021,7.81,320,119,9,0,0.25,28
04112021,7.79,320,119,8,0,0.25,28
05112021,7.83,322,119,8,0,0.25,28
06112021,7.77,336,119,8,0,0.25,28
08112021,7.25,334,119,8,0.1,0.25,28
09112021,7.64,331,119,8,0,0.25,28
10112021,7.73,337,119,8,0.1,0.25,28
11112021,7.78,326,119,8,0,0.25,28
12112021,7.74,325,119,8,0,0.25,24
13112021,7.12,320,136,6,0,0.25,26
15112021,7.31,327,136,6,0,0.25,27
16112021,7.27,324,136,6,0,0.25,28
17112021,7.8,312,136,6,0.1,0,29
18112021,7.92,303,136,6,0,0.25,29
19112021,7.87,307,136,6,0,0.25,29
20112021,7.56,302,136,6,0,0.25,29
21112021,7.85,316,136,6,0,0.25,28
22112021,7.84,315,136,9.5,0,0.25,29
23112021,7.79,308,136,6,0,0.25,28
24112021,7.72,302,119,6,0,0.25,29
25112021,7.81,320,119,9,0,0.25,28
26112021,7.79,320,119,8,0,0.25,28
27112021,7.83,322,119,8,0,0.25,28
28112021,7.77,336,119,8,0,0.25,28
29112021,7.25,334,119,8,0.1,0.25,28
30112021,7.64,331,119,8,0,0.25,28
31112021,7.73,337,119,8,0.1,0.25,28
32112021,7.78,326,119,8,0,0.25,28
33112021,7.74,325,119,8,0,0.25,24
34112021,7.12,320,136,6,0,0.25,26
35112021,7.31,327,136,6,0,0.25,27
36112021,7.27,324,136,6,0,0.25,28
37112021,7.9,394,136,8,0,0.25,29
38112021,7.96,397,136,8,0,0.25,29
39112021,7.75,387,136,8,0,0.25,29
40112021,7.72,387,136,8,0,0.25,29
41112021,7.78,391,136,8,0,0.25,29
42112021,7.9,395,136,8,0,0.25,30
43112021,8.14,409,136,8,0,0.25,29
44112021,7.71,416,136,8,0,0.25,29
45112021,8.04,408,136,8,0,0.25,29
46112021,7.79,421,136,8,0,0.25,29
47112021,7.85,439,136,8,0,0.25,29
48112021,7.9,453,136,8,0,0.25,29
49112021,7.62,320,119,8,0,0,29
50112021,7.49,308,136,6,0.1,0.25,29
51112021,7.8,312,136,6,0.1,0,29
52112021,7.92,303,136,6,0,0.25,29
53112021,7.87,307,136,6,0,0.25,29
